1205,"2019-12-01 00:02:43.9840","2019-12-01 00:22:49.5140",3329,"Degraw St & Smith St",40.6829151,-73.99318208,364,"Lafayette Ave & Classon Ave",40.68900443,-73.96023854,39072,"Subscriber",1969,1
69,"2019-12-01 00:02:54.9400","2019-12-01 00:04:04.0330",3383,"Cathedral Pkwy & Broadway",40.804213,-73.96699104,3552,"W 113 St & Broadway",40.805973,-73.964928,21308,"Subscriber",1995,1
174,"2019-12-01 00:02:56.5750","2019-12-01 00:05:51.2820",312,"Allen St & Stanton St",40.722055,-73.989111,439,"E 4 St & 2 Ave",40.7262807,-73.98978041,16309,"Subscriber",1980,1
408,"2019-12-01 00:03:15.9300","2019-12-01 00:10:04.7770",3452,"Bayard St & Leonard St",40.71915571696044,-73.94885390996933,3856,"Kingsland Ave & Nassau Ave",40.72577,-73.94173,16045,"Subscriber",1989,1
4027,"2019-12-01 00:03:25.4140","2019-12-01 01:10:32.6300",3053,"Marcy Ave & Lafayette Ave",40.6900815,-73.947915,3053,"Marcy Ave & Lafayette Ave",40.6900815,-73.947915,28207,"Customer",1994,1
684,"2019-12-01 00:03:39.2500","2019-12-01 00:15:04.0870",403,"E 2 St & 2 Ave",40.72502876,-73.99069656,3783,"Cliff St & Fulton St",40.70838,-74.00495,32441,"Subscriber",1989,1
468,"2019-12-01 00:03:44.1540","2019-12-01 00:11:32.7980",471,"Grand St & Havemeyer St",40.71286844,-73.95698119,3113,"Greenpoint Ave & Manhattan Ave",40.73026,-73.95394,40634,"Subscriber",1992,1
1237,"2019-12-01 00:03:52.8850","2019-12-01 00:24:30.1500",440,"E 45 St & 3 Ave",40.75255434,-73.97282625,3858,"Kent St & McGuinness Blvd",40.73124,-73.95161,40213,"Subscriber",1993,1
324,"2019-12-01 00:03:55.2370","2019-12-01 00:09:19.9490",312,"Allen St & Stanton St",40.722055,-73.989111,151,"Cleveland Pl & Spring St",40.722103786686034,-73.99724900722504,16199,"Subscriber",1977,1
579,"2019-12-01 00:04:08.4760","2019-12-01 00:13:47.7300",405,"Washington St & Gansevoort St",40.739323,-74.008119,494,"W 26 St & 8 Ave",40.74734825,-73.99723551,18448,"Customer",1969,0
646,"2019-12-01 00:04:10.4540","2019-12-01 00:14:57.2340",3518,"Lenox Ave & W 126 St",40.808442,-73.9452087,3630,"Frederick Douglass Blvd & W 115 St",40.8038654,-73.9559308,19059,"Subscriber",1974,1
255,"2019-12-01 00:04:16.0470","2019-12-01 00:08:31.3330",251,"Mott St & Prince St",40.72317958,-73.99480012,412,"Forsyth St & Canal St",40.7158155,-73.99422366,25515,"Subscriber",1999,2
448,"2019-12-01 00:04:24.1930","2019-12-01 00:11:53.1510",3332,"Degraw St & Hoyt St",40.681990442707026,-73.99079024791718,392,"Jay St & Tech Pl",40.695065,-73.987167,27631,"Customer",1982,1
1267,"2019-12-01 00:04:39.6160","2019-12-01 00:25:47.0120",464,"E 56 St & 3 Ave",40.75934501,-73.96759673,388,"W 26 St & 10 Ave",40.749717753,-74.002950346,31302,"Subscriber",1990,1
1185,"2019-12-01 00:04:50.2930","2019-12-01 00:24:35.3860",432,"E 7 St & Avenue A",40.72621788,-73.98379855,3259,"9 Ave & W 28 St",40.74937024193277,-73.99923384189606,40690,"Subscriber",1959,0
246,"2019-12-01 00:04:52.4040","2019-12-01 00:08:58.8650",3561,"37 Ave & 35 St",40.7531106,-73.9279917,3572,"34 Ave & 38 St",40.756913,-73.921631,30841,"Subscriber",1966,1
631,"2019-12-01 00:05:56.0430","2019-12-01 00:16:27.5530",523,"W 38 St & 8 Ave",40.75466591,-73.99138152,223,"W 13 St & 7 Ave",40.73781509,-73.99994661,39094,"Subscriber",1951,1
316,"2019-12-01 00:06:21.1090","2019-12-01 00:11:37.3090",361,"Allen St & Hester St",40.71605866,-73.99190759,307,"Canal St & Rutgers St",40.71427487,-73.98990025,21186,"Customer",1975,1
2132,"2019-12-01 00:06:29.5940","2019-12-01 00:42:02.0210",3763,"Wyckoff Av & Jefferson St",40.707165,-73.923711,3260,"Mercer St & Bleecker St",40.72706363348306,-73.99662137031554,32991,"Customer",2000,1
606,"2019-12-01 00:06:35.7090","2019-12-01 00:16:42.6460",353,"S Portland Ave & Hanson Pl",40.68539567,-73.97431458,3396,"Clinton St & 4 Place",40.6783563,-74.00014502,41767,"Subscriber",2000,1
269,"2019-12-01 00:06:45.5450","2019-12-01 00:11:15.2650",526,"E 33 St & 5 Ave",40.74765947,-73.98490707,476,"E 31 St & 3 Ave",40.74394314,-73.97966069,28614,"Subscriber",1989,2
1499,"2019-12-01 00:06:52.6750","2019-12-01 00:31:52.2460",389,"Broadway & Berry St",40.71044554,-73.96525063,3758,"George St & Wilson Ave",40.702997,-73.92997,15968,"Customer",1993,1
1532,"2019-12-01 00:06:55.8200","2019-12-01 00:32:28.4780",389,"Broadway & Berry St",40.71044554,-73.96525063,3758,"George St & Wilson Ave",40.702997,-73.92997,40295,"Customer",1993,2
361,"2019-12-01 00:07:15.7350","2019-12-01 00:13:17.1260",434,"9 Ave & W 18 St",40.74317449,-74.00366443,489,"10 Ave & W 28 St",40.75066386,-74.00176802,39641,"Subscriber",1995,1
164,"2019-12-01 00:07:21.8770","2019-12-01 00:10:06.0100",3175,"W 70 St & Amsterdam Ave",40.77748046,-73.98288594,3173,"Riverside Blvd & W 67 St",40.777507027547976,-73.98888587951659,15296,"Subscriber",1983,1
604,"2019-12-01 00:07:31.5540","2019-12-01 00:17:36.1680",128,"MacDougal St & Prince St",40.72710258,-74.00297088,379,"W 31 St & 7 Ave",40.749156,-73.9916,38507,"Subscriber",1982,1
995,"2019-12-01 00:07:35.2250","2019-12-01 00:24:10.2480",3143,"5 Ave & E 78 St",40.77632142182271,-73.96427392959595,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,35031,"Subscriber",1968,1
248,"2019-12-01 00:07:37.0460","2019-12-01 00:11:45.1870",3707,"Lexington Ave & E 26 St",40.741459,-73.983293,461,"E 20 St & 2 Ave",40.73587678,-73.98205027,16765,"Subscriber",1985,1
1516,"2019-12-01 00:07:39.2050","2019-12-01 00:32:55.9210",301,"E 2 St & Avenue B",40.72217444,-73.98368779,2021,"W 45 St & 8 Ave",40.75929124,-73.98859651,40457,"Subscriber",1992,1
972,"2019-12-01 00:07:52.1900","2019-12-01 00:24:04.2840",3537,"Carlton Ave & Dean St",40.6809741,-73.9710097,389,"Broadway & Berry St",40.71044554,-73.96525063,15821,"Subscriber",1992,1
